delta_lati,sst,atms,u10,v10
0.05,-262.909,-50.693,5.5,5.25
0.08,-158.757,-120.313,5.75,5.5
0.03,-210.851,-146.543,5.75,5.5
0.02,-233.265,-150.834,5.75,5.5
0.04,-236.066,-131.096,5.75,5.5
0.01,-217.388,-165.424,5.75,5.5
0.01,-213.652,-157.7,5.75,5.5
0.01,-185.634,-154.267,5.75,5.5
0.05,-130.532,-105.351,5.75,5.5
0.02,-172.559,-115.649,6,5.75
0,-163.179,-130.319,6,5.75
0.02,-175.973,-121.885,6,5.75
0.05,-209.025,-138.151,6,5.75
0.01,-158.914,-71.281,6,5.75
0.04,-119.465,-67.666,6,5.75
0.02,-123.73,-42.966,6,5.75
0.01,-57.625,-3.206,6,5.75
0,-69.947,-11.69,6,5.75
-0.01,-86.329,-18.065,6,5.75
0.01,-128.575,-65.876,6,5.75
-0.02,-191.514,-89.781,6,5.75
0,-132.024,-41.173,6,5.75
-0.01,-101.148,-32.025,6,5.75
