delta_longi,sst,atms,u10,v10
-0.7,-141.187,120.799,-2.5,-2.75
0,-148.265,129.765,-2.5,-2.75
-0.1,-72.273,150.954,-2.5,-2.75
0,-159.902,193.087,-2.5,-2.75
-0.1,-179.18,182.554,-2.5,-2.75
0,-83.98,131.45,-2.5,-2.75
0,-171.365,153.587,-2.75,-3
-0.1,-171.365,148.316,-2.75,-3
0,-66.301,87.13,-2.75,-3
0,-62.424,80.271,-2.75,-3
0,-87.623,85.17,-3,-3.25
0,-105.068,78.311,-3,-3.25
0,-82.158,70.923,-3,-3.25
-0.1,-89.914,45.787,-3,-3.25
0,-106.975,75.756,-3,-3.25
0,-125.586,74.789,-3.25,-3.5
-0.1,-76.104,57.337,-3.25,-3.5
0,-90.963,115.806,-3.25,-3.5
-0.1,-142.624,100.623,-3.5,-3.75
0,-135.834,113.771,-3.5,-3.75
0,-177.478,136.177,-3.5,-3.75
-0.1,-164.273,162.733,-3.5,-3.75
0,-97.654,63.679,-3.5,-3.75
-0.2,-146.609,86.658,-3.5,-3.75
-0.2,-117.959,165.875,-3.5,-3.75
0,-96.737,112.353,-3.5,-3.75
-0.1,-98.666,126.95,-3.5,-3.75
-0.1,-35.965,198.312,-3.5,-3.75
-0.1,-103.406,245.769,-3.5,-3.75
0,-95.455,61.055,-3.75,-4
0,-91.038,52.974,-3.75,-4
0,-120.191,110.697,-3.75,-4
0,-134.326,126.859,-3.75,-4
0.1,-182.621,94.226,-4,-4.25
-0.1,-207.325,82.821,-4,-4.25
-0.1,-263.18,127.679,-4,-4.25
0,-151.472,71.417,-4,-4.25
0,-157.077,113.812,-4,-4.25
0,-144.044,110.269,-4,-4.25
0,-325.433,218.321,-4,-4.25
-0.1,-300.451,234.264,-4,-4.25
0,-263.944,208.27,-4,-4.25
-0.1,-280.557,207.558,-4,-4.25
0,-187.339,90.878,-4,-4.25
-0.1,-149.499,66.688,-4,-4.25
-0.1,-111.119,96.825,-4,-4.25
-0.1,-102.051,81.802,-4,-4.25
0,-111.119,80.133,-4,-4.25
0,-104.066,107.676,-4,-4.25
0,-165.529,217.85,-4,-4.25
0.7,-198.779,202.826,-4,-4.25
0,-242.692,182.907,-4,-4.25
-0.8,-248.142,191.577,-4,-4.25
0,-264.49,146.649,-4,-4.25
0,-255.77,223.105,-4,-4.25
0,-250.526,166.415,-4,-4.25
0.8,-259.335,179.964,-4,-4.25
-0.9,-285.761,247.71,-4,-4.25
0,-267.042,239.968,-4,-4.25
0,-300.075,238.032,-3.75,-4
-0.1,-308.884,240.936,-3.75,-4
0,-245.02,162.543,-3.75,-4
0,-227.403,177.06,-3.75,-4
0,-207.641,201.128,-3.75,-4
-0.1,-200.906,217.737,-3.75,-4
0,-225.917,190.847,-3.75,-4
0.1,-237.461,171.866,-3.75,-4
-0.3,-198.02,161.584,-3.75,-4
0,-114.654,145.651,-3.75,-4
-0.1,-140.527,177.23,-3.75,-4
0,-132.766,103.307,-3.75,-4
0,-131.472,103.307,-3.75,-4
0,-156.051,103.307,-3.75,-4
0,-170.281,115.508,-3.75,-4
0.4,-262.115,160.341,-3.75,-4
-0.5,-113.921,46.939,-3.75,-4
0,-104.042,34.162,-3.75,-4
0,-97.867,18.988,-3.75,-4
0,-113.921,16.592,-3.75,-4
-0.1,-213.952,86.87,-3.75,-4
-0.1,-140.824,85.167,-3.5,-3.75
-0.6,-156.225,46.086,-3.5,-3.75
0,-194.939,149.899,-3.5,-3.75
-0.1,-200.549,124.323,-3.5,-3.75
0.4,-183.722,155.494,-3.5,-3.75
-0.6,-185.592,161.888,-3.5,-3.75
-0.1,-166.307,187.616,-3.5,-3.75
0,-200.044,181.173,-3.5,-3.75
-0.3,-206.792,181.173,-3.5,-3.75
0,-115.837,203.924,-3.5,-3.75
-0.2,-139.896,188.979,-3.5,-3.75
0,-96.844,29.912,-3.5,-3.75
-0.1,-111.607,21.463,-3.5,-3.75
0,-46.875,65.398,-3.5,-3.75
-0.1,-51.418,71.313,-3.5,-3.75
0,-90.03,114.404,-3.5,-3.75
-0.1,-112.599,116.703,-3.5,-3.75
-0.1,-128.631,96.519,-3.5,-3.75
0,-66.794,35.966,-3.5,-3.75
